ts_code,date,close,price_change_pct,zhixing_white,zhixing_yellow,brick_chart,brick_white,brick_red_len,brick_green_len,shadow_body_ratio,strong_white_ok,tight_candle_ok,price_under_4_ok,signal_year,fwd_ret_1d,fwd_ret_3d,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d,market_cap_date,total_mv,circ_mv,total_mv_billion_cny,circ_mv_billion_cny,market_cap_bucket
600887.SH,2023-01-05,27.52,3.1097789434245016,26.982351117563816,26.953378759398497,94.7320153127207,1,13.110878360198527,6.99815372246573,0.17741935483870275,True,True,True,2023,-0.0010901162790698526,0.030886627906976827,0.022165697674418672,0.027979651162790775,-0.0010901162790698526,2022-12-30,19837970.4858,19554765.8132,198.37970485800003,195.547658132,100-200B
603345.SH,2023-01-05,147.66,3.5411261482364287,146.9552406741832,143.45724780701755,72.9821093967227,1,11.002167726160707,8.493362962417308,0.33663366336634115,True,True,True,2023,-0.006095083299471837,-0.014018691588784993,-0.03596099146688336,-0.016930786942977116,-0.03819585534335623,2022-12-30,4747847.0276,4717445.9636,47.478470275999996,47.174459636,20-50B
603919.SH,2023-01-05,25.23,3.401639344262297,24.708807409105475,23.85812186716792,85.14979990903053,1,12.43888063891113,3.059821074618597,0.21686746987951724,True,True,True,2023,-0.018628616726119707,0.015457788347205792,-0.03131193024177559,-0.05945303210463737,-0.04201347602061034,2022-12-30,1356920.492,1356920.492,13.56920492,13.56920492,<20B
603968.SH,2023-01-06,20.55,1.5316205533596916,20.62899652863047,20.55056390977444,69.09565459939228,1,3.5364112006643325,2.8761665911407164,0.28947368421052555,True,True,True,2023,0.00048661800486615725,-0.023357664233576658,-0.020437956204379604,0.01119221411192206,-0.020437956204379604,2022-12-30,444335.04,444335.04,4.4433504,4.4433504,<20B
000878.SZ,2023-01-09,11.22,3.9851714550509953,11.01570177787065,10.933778195488722,77.06683806163147,1,14.111679157471713,0.4348014084361864,0.2999999999999929,True,True,True,2023,-0.0008912655971479166,0.007130124777183555,0.019607843137254832,0.089126559714795,0.04456327985739761,2022-12-30,2354263.2643,1997017.3288,23.542632642999997,19.970173288,20-50B
002555.SZ,2023-01-09,17.36,2.721893491124261,15.38878578733207,15.048345864661655,122.60224824030807,1,2.638296493954897,1.4904909621704263,0.3148148148148185,True,True,True,2023,0.006336405529953959,-0.017281105990783474,-0.02419354838709664,0.032258064516129226,0.07085253456221197,2022-12-30,4014334.3486,2960300.9251,40.143343486,29.603009251,20-50B
002557.SZ,2023-01-09,44.39,3.7877016600420754,44.52033472870954,43.78322525062657,85.88996473364395,1,9.560096180368276,2.360086712641092,0.3777777777777759,True,True,True,2023,-0.011038522189682376,-0.044154088758729504,-0.04100022527596303,-0.054516783059247564,-0.032665014642937695,2022-12-30,2535011.48,2534992.73,25.3501148,25.3499273,20-50B
600012.SH,2023-01-09,6.62,3.1152647975077885,6.35280521872211,6.2319078947368425,111.66706255195608,1,9.258360175178211,5.908858792406278,0.15789473684210156,True,True,True,2023,-0.013595166163141936,-0.0030211480362538623,0.0226586102719033,0.05438066465256797,0.07099697885196377,2022-12-30,1212443.91,852053.6,12.1244391,8.520536,<20B
600059.SH,2023-01-09,9.51,3.145336225596518,9.350318846397917,9.202843045112783,78.01698915773761,1,12.619773813959384,12.248066028137188,0.12903225806451318,True,True,True,2023,-0.007360672975814997,-0.045215562565720235,-0.006309148264984299,-0.01577287066246058,0.07991587802313349,2022-12-30,885107.683,885107.683,8.85107683,8.85107683,<20B
600305.SH,2023-01-09,11.71,1.7376194613379692,11.721359942686673,11.429434523809523,66.03229803656704,1,8.809217098048606,7.893616040723131,0.3999999999999986,True,True,True,2023,0.0076857386848847575,-0.01964133219470543,0.03757472245943627,-0.005123825789923209,0.04269854824935959,2022-12-30,1234638.8754,1234638.8754,12.346388754,12.346388754,<20B
600613.SH,2023-01-09,8.06,2.2842639593908753,8.411655605163679,8.087286967418546,69.9291320870064,1,13.705555569210361,1.3089742835506684,0.1666666666666675,True,True,True,2023,0.0,-0.026054590570719682,-0.00992555831265507,-0.002481389578163906,-0.003722084367245748,2022-12-30,439540.9498,394480.3419,4.395409498,3.944803419,<20B
601618.SH,2023-01-09,3.05,1.3289036544850585,3.036701211588459,3.025422932330827,89.01392830814864,1,9.920881510503577,1.2356539494676326,0.20000000000000534,True,True,True,2023,-0.016393442622950727,-0.016393442622950727,-0.006557377049180357,0.029508196721311553,0.03934426229508192,2022-12-30,6590110.8961,5677132.8961,65.90110896099999,56.771328960999995,50-100B
603615.SH,2023-01-09,8.25,3.254067584480591,7.95132118398949,7.78701597744361,90.17313971446066,1,12.962343589907988,2.4454870717124493,0.07692307692307535,True,True,True,2023,-0.00969696969696976,-0.036363636363636376,-0.033939393939393936,-0.020606060606060628,0.037575757575757596,2022-12-30,192005.08,192005.08,1.9200507999999998,1.9200507999999998,<20B
000028.SZ,2023-01-10,25.55,2.775543041029782,25.12877369691751,24.70499060150376,93.36630175210536,1,10.111993961232713,9.957207492254327,0.36764705882352955,True,True,True,2023,0.005870841487279899,0.014481409001956935,0.0,0.003522504892367939,0.012524461839530376,2022-12-30,1408109.6471,1209475.8926,14.081096470999999,12.094758925999999,<20B
002467.SZ,2023-01-10,5.89,3.69718309859155,5.086825365156935,4.920106516290726,106.49722459851131,1,6.896052750813055,4.034026265310217,0.2999999999999997,True,True,True,2023,-0.02716468590831911,0.04923599320882843,-0.01018675721561968,0.05093378607809851,-0.01697792869269943,2022-12-30,688599.4009,675168.3491,6.885994009,6.751683491,<20B
000932.SZ,2023-01-11,4.25,2.163461538461542,4.215070937174847,4.134224624060151,76.39748495261097,1,12.376592056452779,9.56798636204877,0.33333333333332676,True,True,True,2023,-0.018823529411764683,0.007058823529411784,0.009411764705882453,0.04470588235294137,0.09411764705882364,2022-12-30,3247057.2745,2687418.7274,32.470572745,26.874187274,20-50B
002142.SZ,2023-01-11,30.74,3.641267700606865,29.370163987724595,28.272343358395986,101.23348136651632,1,10.656871414855644,8.76682532378338,0.2844036697247695,True,True,True,2023,-0.0009759271307742123,0.014964216005205033,0.0006506180871830303,-0.03448275862068961,-0.09694209499024065,2022-12-30,21428652.12,21166854.8397,214.2865212,211.668548397,200B+
600941.SH,2023-01-11,65.25,1.6830294530154166,62.925733020254796,61.57755639097745,97.41459724745712,1,9.961986010184319,7.754276510049209,0.24561403508772017,True,True,True,2023,0.02237547892720304,-0.006436781609195474,0.0030651340996168397,0.03724137931034499,0.02298850574712641,2022-12-30,144562248.712,3253268.185,1445.6224871200002,32.53268185,200B+
603733.SH,2023-01-11,29.41,3.265449438202239,28.796890117250104,27.610994674185463,89.6895390746416,1,14.827565159821162,5.235973418631815,0.08910891089108883,True,True,True,2023,-0.0006800408024481008,0.002380142808568575,0.0037402244134647766,0.01122067324039433,-0.008840530431825977,2022-12-30,2151105.8372,2151105.8372,21.511058372,21.511058372,20-50B
605098.SH,2023-01-11,24.85,3.026533996683245,24.173162405574452,23.649248120300754,83.9135426658084,1,14.413037134393676,6.64662133023468,0.3555555555555511,True,True,True,2023,-0.012072434607645954,-0.008450704225352101,-0.018511066398390397,0.18752515090543254,0.13400402414486923,2022-12-30,345734.1408,128702.8693,3.457341408,1.2870286930000001,<20B
605218.SH,2023-01-11,15.92,3.578399479505534,14.256334813806466,14.068150062656642,112.84245656831021,1,5.423749036157105,0.955452056224118,0.3380281690140852,True,True,True,2023,-0.006909547738693456,-0.0043969849246231485,0.01633165829145722,0.03643216080402012,0.01821608040201017,2022-12-30,293710.1748,121794.7676,2.937101748,1.217947676,<20B
000951.SZ,2023-01-12,14.92,3.6111111111110983,13.98611924323279,13.149558270676692,114.68212944153274,1,6.803015942691928,0.8394340066056856,0.3200000000000003,True,True,True,2023,0.008042895442359255,-0.013404825737265313,-0.029490616621983934,-0.012064343163538882,0.009383378016085908,2022-12-30,1743506.1302,1743367.3881,17.435061302,17.433673881,<20B
600050.SH,2023-01-12,4.69,3.076923076923088,4.428608469555313,4.088386591478697,96.71579168230792,1,11.89447677068567,4.0953947923102305,0.25,True,True,True,2023,-0.0106609808102347,-0.031982942430703654,0.010660980810234477,0.01705756929637503,0.019189765458422103,2022-12-30,14248387.4342,13871160.5478,142.483874342,138.711605478,100-200B
600109.SH,2023-01-12,9.16,3.269447576099216,8.54959561562156,8.422691102756891,112.70643191060597,1,7.8543644019794385,4.291471411208732,0.2222222222222244,True,True,True,2023,0.0065502183406114245,0.04694323144104806,0.06550218340611358,0.044759825327510994,-0.004366812227074357,2022-12-30,3240192.5997,2793880.3916,32.401925997,27.938803916,20-50B
600873.SH,2023-01-12,8.74,0.9237875288683695,8.950880314118475,8.89499373433584,52.524635708679256,1,5.119155414422622,0.30766038879933433,0.29999999999999466,True,True,True,2023,0.03203661327231111,0.05034324942791746,0.06750572082379858,0.042334096109839736,0.009153318077803174,2022-12-30,3097229.825,3097229.825,30.97229825,30.97229825,20-50B
603551.SH,2023-01-12,7.63,3.247631935047357,7.60879695724425,7.263421052631579,76.50784570458056,1,16.097572252861298,4.048395753235781,0.06896551724138089,True,True,True,2023,0.03407601572739183,0.04980340760157276,0.06815203145478388,0.1861074705111403,0.19134993446920046,2022-12-30,391657.5,132040.6805,3.916575,1.320406805,<20B
