indicator,signal,regime,sector,horizon,n,mean,median,p25,p75,win_rate
MA,dead,bull,Information Technology,20d,60,0.001003183427509515,0.004792169732270923,-0.02822718242908706,0.04024038461538465,0.5245901639344263
MA,dead,bull,Materials,20d,46,-0.01763485575781934,-0.016498897880018237,-0.05508838357443116,0.032932204792617104,0.391304347826087
MA,dead,bull,Real Estate,20d,79,0.014046693051692921,0.008648025367541168,-0.02145759369304312,0.04249103741678706,0.5357142857142857
MA,dead,bull,Unknown,20d,342,0.0021458691057061777,0.004774728643946791,-0.04211215205901386,0.045118250025172224,0.5481049562682215
MA,dead,bull,Utilities,20d,82,-0.005721901289567817,-0.010221920936206552,-0.03192500877732385,0.014542529438232643,0.32967032967032966
MA,golden,bear,Communication Services,20d,6,-0.018596335465537683,-0.025245523313266682,-0.04012104969888783,0.029866997083048324,0.3333333333333333
MA,golden,bear,Consumer Discretionary,20d,8,0.011584341865168823,-0.005692551705634985,-0.06099708930499373,0.07137957576756326,0.5
MA,golden,bear,Consumer Staples,20d,15,0.024597971227811502,0.025857902368293884,-0.0019672506490830965,0.05372256848170465,0.7333333333333333
MA,golden,bear,Financials,20d,14,-0.12410201832000771,-0.09912170430473138,-0.1960647052833964,-0.08690583239385277,0.0
MA,golden,bear,Health Care,20d,19,-0.038108520327973426,-0.03201535508637232,-0.06986888746642,0.001311486680427465,0.2631578947368421
MA,golden,bear,Industrials,20d,19,-0.018920707733118165,0.006020722486698382,-0.05279500525245301,0.028205380838829952,0.5263157894736842
MA,golden,bear,Information Technology,20d,15,-0.014784843328616515,-0.0019514310494361808,-0.09839340061672391,0.07422398052343282,0.4666666666666667
MA,golden,bear,Materials,20d,4,0.021116877916641297,0.00043182816061354545,-0.026662445188136208,0.04821115126539105,0.5
MA,golden,bear,Real Estate,20d,10,-0.012107869322134136,-0.021447583902132583,-0.03384828194213821,0.012390311375891,0.3
MA,golden,bear,Unknown,20d,35,-0.023030018338784097,-0.021716913643331615,-0.07026363380369827,0.043608394794237615,0.42857142857142855
MA,golden,bear,Utilities,20d,23,0.024807171385508177,0.025695029486099363,-0.010846619314161865,0.05589133815997471,0.6086956521739131
MA,golden,bull,Communication Services,20d,56,0.012043485295240769,-0.002824543276100877,-0.02385030789402534,0.024947696018020993,0.4482758620689655
