ticker,entry_date,exit_date,entry_price,exit_price,holding_days,trade_return
C,2014-08-01,2014-08-29,48.1,51.65,21,0.056021263545287914
FB,2014-08-06,2014-08-25,72.47,75.02,14,0.03205392763791437
GOOG,2014-08-06,2014-08-08,566.374,568.77,3,0.006547861326914983
GOOGL,2014-08-06,2014-08-08,574.49,577.94,3,0.008374917123216141
AMZN,2014-08-14,2014-08-15,333.21,333.63,2,0.022526664214784997
GOOG,2014-08-19,2014-10-03,586.86,575.28,33,-0.011818056891575668
GOOGL,2014-08-19,2014-10-03,597.11,586.25,33,-0.010882402564534988
FB,2014-08-28,2014-10-15,73.855,73.21,34,-0.019027200857564153
AAPL,2014-09-04,2014-09-09,98.12,97.99,4,-0.009601778855872323
BAC,2014-09-04,2014-09-29,16.11,17.01,18,0.0565217391304349
MSFT,2014-09-04,2014-09-19,45.26,47.52,12,0.05693950177935925
NFLX,2014-09-05,2014-09-08,67.9542,68.4756,2,0.014089763373724029
AMZN,2014-09-09,2014-09-25,329.75,321.93,13,-0.059619092130630436
C,2014-09-10,2014-10-28,51.83,52.44,35,0.023019898556378537
JPM,2014-09-10,2014-10-16,59.22,55.08,27,-0.06738909583474428
NFLX,2014-09-10,2014-09-16,69.1985,65.2728,5,-0.04613626499527246
AAPL,2014-09-11,2014-10-27,101.43,105.11,33,0.04069306930693095
GE,2014-09-18,2014-09-25,26.21,25.55,6,-0.027407689379520317
NFLX,2014-09-18,2014-10-10,65.5728,64.5828,17,-0.005390188009757324
MSFT,2014-09-24,2014-10-22,47.08,44.38,21,-0.046821305841924565
BAC,2014-10-02,2014-10-06,16.88,17.29,3,0.027942925089179393
BAC,2014-10-08,2014-12-05,17.12,17.68,42,0.04739336492890911
GOOGL,2014-10-08,2014-10-08,583.74,583.74,1,0.016791499738721516
FB,2014-10-20,2014-11-04,76.95,75.76,12,-0.0025016458196183144
JPM,2014-10-20,2014-10-22,56.63,57.45,3,0.022241992882562123
FB,2014-11-12,2014-11-17,74.72,74.24,4,-0.004959120761292346
JPM,2014-11-14,2015-01-16,60.28,55.93,43,-0.07139299352482187
MSFT,2014-11-20,2015-01-07,48.7,46.23,32,-0.04126918291165527
XOM,2014-11-20,2014-12-01,95.82,92.35,7,-0.03409685179374544
C,2014-11-24,2014-12-03,54.4,55.21,7,0.02888557584793161
GE,2014-12-01,2014-12-24,26.02,25.83,18,-0.02491506228765583
AAPL,2014-12-02,2014-12-17,114.63,109.41,12,-0.049187451116711856
AMZN,2014-12-02,2014-12-09,326.31,312.5,6,-0.04141104294478526
XOM,2014-12-03,2014-12-10,94.95,88.67,6,-0.05860494744665046
BAC,2014-12-09,2015-01-20,17.56,15.26,28,-0.1359003397508488
C,2014-12-11,2015-01-09,54.51,50.78,20,-0.06774371213511998
AMZN,2014-12-16,2014-12-17,295.06,298.88,2,-0.02349135818603587
AAPL,2014-12-19,2015-01-12,111.78,109.25,15,-0.03018197958277824
AMZN,2014-12-19,2014-12-24,299.9,303.03,4,0.017801363651630542
FB,2014-12-23,2015-01-28,80.61,76.24,24,-0.063965623081645
FB,2015-02-02,2015-02-03,74.99,75.4,2,-0.006718482413384241
GOOG,2015-02-18,2015-02-26,539.7,555.48,7,0.0232849458403952
GOOGL,2015-02-18,2015-02-19,542.65,546.45,2,0.002642153354984522
GOOGL,2015-02-24,2015-02-26,538.65,559.29,3,0.04540186915887845
NFLX,2015-03-10,2015-03-12,62.1514,64.0457,3,0.006036625019242514
FB,2015-03-11,2015-03-19,77.57,82.75,7,0.06705351386202496
GE,2015-03-11,2015-04-13,25.19,27.63,23,0.09773539928486241
GOOG,2015-03-11,2015-03-12,551.18,555.51,2,0.000900884668744828
GOOGL,2015-03-11,2015-03-12,555.69,561.17,2,0.0023577744038580928
AAPL,2015-03-12,2015-03-12,124.45,124.45,1,0.018079188481675557
NFLX,2015-03-16,2015-03-25,60.2814,60.2499,8,-0.03797951411897149
C,2015-03-18,2015-04-16,53.72,54.02,21,0.0033432392273404776
AAPL,2015-03-19,2015-03-26,127.495,124.24,6,-0.03292597493578264
AMZN,2015-03-19,2015-03-27,373.24,370.56,7,-0.012195609580550992
GOOGL,2015-03-23,2015-03-23,565.37,565.37,1,0.0007434286220018294
FB,2015-03-24,2015-03-25,85.31,82.92,2,-0.017884638161790978
JPM,2015-03-25,2015-04-14,59.61,63.04,14,0.04267284154813056
NFLX,2015-03-27,2015-04-02,59.2528,59.1542,5,-0.009994744893006446
AAPL,2015-03-30,2015-03-30,126.37,126.37,1,0.02531440162271803
AAPL,2015-04-01,2015-04-27,124.25,132.65,18,0.06606123925098406
FB,2015-04-01,2015-04-06,81.665,82.44,3,0.002736726874657869
GOOG,2015-04-02,2015-04-06,535.53,536.765,2,-0.010680846358006257
GOOGL,2015-04-02,2015-04-07,541.31,544.86,3,-0.00842599501355823
AMZN,2015-04-07,2015-04-20,374.41,389.51,10,0.03307341396138308
GOOG,2015-04-10,2015-04-16,540.01,533.8,5,-0.012907282074041349
GOOGL,2015-04-10,2015-04-16,548.54,543.52,5,-0.008211379146746411
GE,2015-04-15,2015-04-22,27.46,26.91,6,-0.029570861882437738
GOOG,2015-04-20,2015-04-20,535.38,535.38,1,0.02162007442037983
GOOGL,2015-04-20,2015-04-20,544.53,544.53,1,0.022130870593535246
FB,2015-04-29,2015-05-12,80.465,77.46,10,-0.03991075855230575
AMZN,2015-04-30,2015-05-01,421.78,422.87,2,-0.015138458672007804
AAPL,2015-05-06,2015-06-24,125.01,128.11,35,0.01836248012718622
C,2015-05-07,2015-06-03,53.31,55.63,19,0.053199545626656075
XOM,2015-05-14,2015-06-08,86.97,84.85,17,-0.019755083179297084
AMZN,2015-05-15,2015-05-18,426.0,425.24,2,-0.01628574072360489
GE,2015-05-20,2015-05-20,27.64,27.64,1,0.010603290676416854
MSFT,2015-05-22,2015-06-19,46.9,46.1,20,-0.02783635596794609
BAC,2015-05-28,2015-06-03,16.67,16.93,5,0.011350059737156748
JPM,2015-05-28,2015-06-05,66.2,67.42,7,0.014292161877538678
