date,ticker,close,entry_signal,exit_signal,sma_fast_col,sma_slow_col,trend_up,trend_down,rsi_not_hot,nn_prob,nn_bullish,nn_bearish,entry_long,exit_long
2017-12-13,GE,17.76,False,True,18.008000000000003,20.984249999999996,0,1,1,0.4839889979293916,0,0,0,1
2017-12-13,GOOG,1040.61,True,False,1028.459,999.498,1,0,1,0.5835942186833178,1,0,1,0
2017-12-13,GOOGL,1051.39,True,False,1042.9180000000001,1015.1945,1,0,1,0.5680952584340097,1,0,1,0
2017-12-13,JPM,105.51,True,False,102.40800000000002,99.376,1,0,1,0.5577072428888821,1,0,1,0
2017-12-13,MSFT,85.35,True,False,83.499,80.2925,1,0,1,0.625811192630013,1,0,1,0
2017-12-13,NFLX,187.86,False,True,190.3555,191.85516666666666,0,1,1,0.5365467542901946,0,0,0,1
2017-12-13,XOM,83.12,False,True,82.03049999999999,82.34758333333335,0,1,1,0.5634166243669295,1,0,0,1
2017-12-14,AAPL,172.22,False,False,171.49200000000002,164.50266666666667,1,0,1,0.5225274273814089,0,0,0,0
2017-12-14,AMZN,1174.26,False,False,1159.349,1070.0495,1,0,1,0.5099057485602168,0,0,0,0
2017-12-14,BAC,28.73,True,False,27.958499999999997,26.943083333333334,1,0,1,0.5661493874554783,1,0,1,0
2017-12-14,C,73.92,True,False,74.184,73.51749999999998,1,0,1,0.61490197452228,1,0,1,0
2017-12-14,FB,178.39,True,False,178.3945,175.49466666666666,1,0,1,0.5971418744259084,1,0,1,0
2017-12-14,GE,17.64,False,True,17.977,20.872916666666665,0,1,1,0.5239277022624916,0,0,0,1
2017-12-14,GOOG,1049.15,False,False,1029.8709999999999,1001.4575,1,0,1,0.49782394167384164,0,0,0,0
2017-12-14,GOOGL,1057.47,False,False,1043.971,1017.0266666666666,1,0,1,0.5438866594448075,0,0,0,0
2017-12-14,JPM,104.66,True,False,102.73150000000001,99.54366666666667,1,0,1,0.5754484638259423,1,0,1,0
2017-12-14,MSFT,84.69,True,False,83.5845,80.455,1,0,1,0.5583371112174066,1,0,1,0
2017-12-14,NFLX,189.56,False,True,190.2275,191.9226666666667,0,1,1,0.5757159517793486,1,0,0,1
2017-12-14,XOM,82.9,False,True,82.115,82.38674999999999,0,1,1,0.549245086147788,0,0,0,1
2017-12-15,AAPL,173.97,False,False,171.6355,164.8456666666667,1,0,1,0.544428808674959,0,0,0,0
2017-12-15,AMZN,1179.14,True,False,1161.4415000000001,1073.6243333333334,1,0,1,0.5917583040260301,1,0,1,0
2017-12-15,BAC,29.04,False,False,28.072499999999998,27.007749999999998,1,0,1,0.5201682021630266,0,0,0,0
2017-12-15,C,74.77,False,False,74.339,73.56766666666667,1,0,1,0.5438620826454975,0,0,0,0
2017-12-15,FB,180.18,False,False,178.424,175.64583333333334,1,0,1,0.5483365776655917,0,0,0,0
2017-12-15,GE,17.82,False,True,17.9555,20.757416666666664,0,1,1,0.5613886550373024,1,0,0,1
2017-12-15,GOOG,1064.19,False,False,1031.4555,1003.6531666666666,1,0,1,0.5302394501248916,0,0,0,0
2017-12-15,GOOGL,1072.0,False,False,1045.1475,1019.1008333333334,1,0,1,0.5189258357036924,0,0,0,0
2017-12-15,JPM,106.14,False,False,103.11500000000001,99.72883333333334,1,0,1,0.539214877634839,0,0,0,0
2017-12-15,MSFT,86.85,True,False,83.76700000000001,80.66566666666668,1,0,1,0.629320402586395,1,0,1,0
2017-12-15,NFLX,190.12,False,True,189.958,191.945,0,1,1,0.5769284462114638,1,0,0,1
2017-12-15,XOM,83.03,False,True,82.2385,82.43908333333333,0,1,1,0.45379039675723404,0,0,0,1
2017-12-18,AAPL,176.42,False,False,171.949,165.2545,1,0,1,0.5268253406561579,0,0,0,0
2017-12-18,AMZN,1190.58,True,False,1164.4765,1077.549,1,0,1,0.6044067745934064,1,0,1,0
2017-12-18,BAC,29.48,False,False,28.2155,27.082083333333333,1,0,1,0.5398007736727704,0,0,0,0
